"id","nama_makanan","berat_porsi","energi","protein","lemak","karbohidrat","serat"
"1","nasi","100","175","3.5","0.3","40","0.2"
"2","ayam","50","298","18","25","0","0"
"3","bakso","40","202","10","13","9","0"
"4","buah","60","46","0.5","0.2","12","1.4"
"5","kacang","15","567","25.8","49.2","16.1","8.5"
"6","keju","20","326","22.8","20.3","13.1","0"
"7","kentang","50","83","2","0.1","19.1","1.2"
"8","mie","80","163","5","2.9","30.9","1.3"
"9","roti","35","248","8","1.2","50","2.7"
"10","sayur","50","25","1.2","0.2","4.5","2"
"11","susu","115","61","3.2","3.3","4.3","0"
"12","tahu","30","80","10.9","4.7","0.8","0.1"
"13","telur","55","154","12.4","10.8","0.7","0"
"14","Tempe","30","45","4.2","2.4","3.9","0.5"
"15","anggur","50","58","0.3","0.4","14.9","0.9"
"16","apel","50","58","0.3","0.4","14.9","0.3"
"17","buah naga","50","57","1","0.1","13","3"
"18","jagung","50","129","4.1","1.3","30.3","2"
"19","jeruk","110","45","0.9","0.2","11.2","1.4"
"20","kacang panjang","25","47","2.8","0.5","8.3","3"
"21","kelengkeng","50","70","0.8","0.3","16","1"
"22","melon","100","34","0.8","0.2","8.2","0.9"
"23","pisang","50","99","1.2","0.2","25.8","0.5"
"24","salak","50","77","0.4","0","20.9","1.1"
"25","sawi","25","22","2.3","0.3","4","1.2"
"26","selada","25","15","1.2","0.2","2.9","1.3"
"27","semangka","100","28","0.5","0.2","6.9","0.4"
"28","timun","25","12","0.7","0.1","2.7","0.5"
"29","tomat","50","20","1","0.3","4.2","1"
"30","wortel","25","42","1.2","0.3","9.3","2.8"
